x,y,name
137.1428571,545,col_0
274.2857143,545,col_1
411.4285714,545,col_2
548.5714286,545,col_3
685.7142857,545,col_4
822.8571429,545,col_5
137.1428571,464,col_6
274.2857143,464,col_7
411.4285714,464,col_8
548.5714286,464,col_9
685.7142857,464,col_10
822.8571429,464,col_11
137.1428571,383,col_12
274.2857143,383,col_13
411.4285714,383,col_14
548.5714286,383,col_15
685.7142857,383,col_16
822.8571429,383,col_17
137.1428571,302,col_18
274.2857143,302,col_19
411.4285714,302,col_20
548.5714286,302,col_21
685.7142857,302,col_22
822.8571429,302,col_23
137.1428571,221,col_24
274.2857143,221,col_25
411.4285714,221,col_26
548.5714286,221,col_27
685.7142857,221,col_28
822.8571429,221,col_29
137.1428571,140,col_30
274.2857143,140,col_31
411.4285714,140,col_32
548.5714286,140,col_33
685.7142857,140,col_34
822.8571429,140,col_35
68.57142857,505.36,row_0
137.1428571,505.36,gap_0
205.7142857,505.36,row_1
274.2857143,505.36,gap_1
342.8571429,505.36,row_2
411.4285714,505.36,gap_2
480,505.36,row_3
548.5714286,505.36,gap_3
617.1428571,505.36,row_4
685.7142857,505.36,gap_4
754.2857143,505.36,row_5
822.8571429,505.36,gap_5
68.57142857,424.36,row_6
137.1428571,424.36,gap_6
205.7142857,424.36,row_7
274.2857143,424.36,gap_7
342.8571429,424.36,row_8
411.4285714,424.36,gap_8
480,424.36,row_9
548.5714286,424.36,gap_9
617.1428571,424.36,row_10
685.7142857,424.36,gap_10
754.2857143,424.36,row_11
822.8571429,424.36,gap_11
68.57142857,343.36,row_12
137.1428571,343.36,gap_12
205.7142857,343.36,row_13
274.2857143,343.36,gap_13
342.8571429,343.36,row_14
411.4285714,343.36,gap_14
480,343.36,row_15
548.5714286,343.36,gap_15
617.1428571,343.36,row_16
685.7142857,343.36,gap_16
754.2857143,343.36,row_17
822.8571429,343.36,gap_17
68.57142857,262.36,row_18
137.1428571,262.36,gap_18
205.7142857,262.36,row_19
274.2857143,262.36,gap_19
342.8571429,262.36,row_20
411.4285714,262.36,gap_20
480,262.36,row_21
548.5714286,262.36,gap_21
617.1428571,262.36,row_22
685.7142857,262.36,gap_22
754.2857143,262.36,row_23
822.8571429,262.36,gap_23
68.57142857,181.36,row_24
137.1428571,181.36,gap_24
205.7142857,181.36,row_25
274.2857143,181.36,gap_25
342.8571429,181.36,row_26
411.4285714,181.36,gap_26
480,181.36,row_27
548.5714286,181.36,gap_27
617.1428571,181.36,row_28
685.7142857,181.36,gap_28
754.2857143,181.36,row_29
822.8571429,181.36,gap_29
68.57142857,100.36,row_30
137.1428571,100.36,gap_30
205.7142857,100.36,row_31
274.2857143,100.36,gap_31
342.8571429,100.36,row_32
411.4285714,100.36,gap_32
480,100.36,row_33
548.5714286,100.36,gap_33
617.1428571,100.36,row_34
685.7142857,100.36,gap_34
754.2857143,100.36,row_35
822.8571429,100.36,gap_35
